Claim_ID,Policy_ID,Occurrence_Date,Claim_Status,Claim_Amount,Payment_Date,Expense_Amount
C2024-0001,328336,2024-10-26,Pending,115696.59,,3672.48
C2024-0002,905265,2025-04-30,Settled,17806.61,2025-09-18,3651.21
C2024-0003,736304,2024-07-25,Settled,71621.82,2024-11-16,5963.68
C2024-0004,107766,2025-02-17,Settled,101336.89,2025-05-19,6714.04
C2024-0005,863596,2024-11-04,Pending,99230.34,,6684.13
C2024-0006,121729,2025-06-23,Pending,26891.44,,1263.64
C2024-0007,158605,2025-04-21,Pending,126824.91,,1256.44
C2024-0008,865822,2025-03-30,Pending,636722.2,,26881.79
C2024-0009,888689,2025-05-25,Pending,450689.48,,13419.45
C2024-0010,649906,2024-06-15,Pending,58561.03,,7619.12
C2024-0011,321010,2025-06-25,Pending,649348.29,,38872.79
C2024-0012,568257,2025-06-25,Settled,15496.11,2025-08-08,7296.6
C2024-0013,260711,2024-08-13,Pending,14354.84,,3103.18
C2024-0014,114410,2025-02-25,Pending,139675.93,,24588.23
C2024-0015,737608,2025-06-15,Pending,630874.79,,15474.59
C2024-0016,112912,2025-03-22,Settled,131394.85,2025-05-11,9890.32
C2024-0017,983719,2024-12-30,Pending,144151.76,,4306.08
C2024-0018,679982,2024-12-06,Pending,91890.25,,1245.49
C2024-0019,657328,2024-11-11,Pending,262845.91,,15647.82
C2024-0020,158218,2024-10-14,Pending,28299.67,,2334.23
C2024-0021,929361,2025-01-19,Pending,917181.67,,42678.68
C2024-0022,888704,2024-04-14,Pending,272204.86,,26203.73
C2024-0023,420830,2025-08-24,Settled,1381344.26,2026-08-24,33313.89
C2024-0024,713086,2024-09-05,Pending,70137.45,,13663.36
C2024-0025,529069,2024-08-15,Pending,638783.66,,19323.82
C2024-0026,415855,2025-07-21,Pending,129776.14,,9720.06
C2024-0027,588330,2024-11-20,Pending,23464.27,,2491.71
C2024-0028,638368,2024-02-10,Settled,131695.65,2024-05-04,2331.57
C2024-0029,313794,2024-10-22,Pending,235379.92,,10538.89
C2024-0030,189639,2024-08-01,Pending,915440.28,,19478.38
C2024-0031,194528,2025-03-24,Settled,13209.69,2025-05-11,997.06
C2024-0032,596421,2025-03-13,Pending,31903.93,,1517.26
C2024-0033,456912,2024-06-13,Pending,352946.29,,35577.93
C2024-0034,955999,2024-05-31,Settled,193633.69,2024-08-12,14289.99
C2024-0035,253139,2024-09-28,Settled,186884.75,2024-12-09,26332.63
C2024-0036,565749,2025-05-09,Pending,1451223.12,,30812.55
C2024-0037,861029,2025-05-23,Pending,44424.83,,4620.7
C2024-0038,597447,2024-03-03,Pending,66621.03,,19795.55
C2024-0039,966498,2024-11-08,Pending,30561.16,,3604.06
C2024-0040,479611,2025-06-21,Pending,145473.01,,2107.89
C2024-0041,267018,2024-09-22,Pending,30998.99,,2724.81
C2024-0042,322285,2024-10-23,Pending,639253.28,,20426.52
C2024-0043,422892,2024-06-04,Pending,1487730.08,,32083.72
C2024-0044,711934,2024-12-14,Pending,89784.42,,3066.95
C2024-0045,130685,2024-10-03,Pending,660973.16,,22415.19
C2024-0046,116783,2024-08-08,Settled,218995.63,2024-11-11,15532.18
C2024-0047,436600,2025-11-30,Settled,112227.85,2026-05-17,1450.46
C2024-0048,349449,2025-07-07,Settled,46908.27,2025-08-24,4230.28
C2024-0049,457610,2025-01-01,Pending,304340.93,,17369.99
C2024-0050,393735,2024-04-27,Pending,36306.46,,1136.15
C2024-0051,316716,2025-03-21,Pending,933160.58,,45728.12
C2024-0052,463414,2025-01-13,Pending,142863.82,,8771.97
C2024-0053,832920,2024-07-21,Settled,174785.52,2024-11-20,9017.66
C2024-0054,678776,2025-08-27,Pending,111743.75,,6192.06
C2024-0055,430186,2025-02-05,Pending,619826.73,,28089.23
C2024-0056,440236,2024-09-26,Pending,783027.1,,25914.82
