Policy_ID,Issue_Date,Effective_Date,End_Of_Effective_Date,Reference_Date,Sales_Location,Line_Of_Business,Sales_Channel,Premium_Amount
443021,2022-09-05,2022-09-05,2023-09-05,2022-12-31,France,Residence,Non-Digital,45609.17
145696,2022-04-22,2022-04-22,2023-04-22,2022-12-31,Italy,Auto,Non-Digital,7954.07
692092,2022-01-07,2022-01-07,2023-01-07,2022-12-31,Switzerland,Liability,Non-Digital,92550.42
857556,2022-06-13,2022-06-13,2023-06-13,2022-12-31,Switzerland,Transportation,Non-Digital,127703.31
967480,2022-12-16,2022-12-16,2023-12-16,2022-12-31,Germany,Residence,Non-Digital,43309.07
724283,2022-01-16,2022-01-16,2023-01-16,2022-12-31,Denmark,Transportation,Digital,168999.34
362167,2022-11-26,2022-11-26,2023-11-26,2022-12-31,Germany,Residence,Non-Digital,44800.3
589769,2022-04-03,2022-04-03,2023-04-03,2022-12-31,Sweden,Auto,Digital,35567.26
815556,2022-06-02,2022-06-02,2023-06-02,2022-12-31,Norway,Auto,Digital,6170.49
255952,2022-03-07,2022-03-07,2023-03-07,2022-12-31,Denmark,Auto,Non-Digital,17138.97
612212,2022-04-27,2022-04-27,2023-04-27,2022-12-31,Netherlands,Engineering,Digital,219992.54
397443,2022-01-30,2022-01-30,2023-01-30,2022-12-31,Switzerland,Residence,Digital,99680.78
283072,2022-10-28,2022-10-28,2023-10-28,2022-12-31,Sweden,Auto,Non-Digital,26436.57
573567,2022-05-24,2022-05-24,2023-05-24,2022-12-31,Italy,Auto,Non-Digital,11901.15
399790,2022-10-03,2022-10-03,2023-10-03,2022-12-31,Sweden,Engineering,Non-Digital,144158.34
230679,2022-07-22,2022-07-22,2023-07-22,2022-12-31,Switzerland,Residence,Non-Digital,4578.17
565891,2022-01-03,2022-01-03,2023-01-03,2022-12-31,Switzerland,Transportation,Digital,228183.61
381882,2022-03-27,2022-03-27,2023-03-27,2022-12-31,Italy,Transportation,Non-Digital,127256.7
742112,2022-02-12,2022-02-12,2023-02-12,2022-12-31,France,Auto,Non-Digital,3634.58
262795,2022-04-20,2022-04-20,2023-04-20,2022-12-31,Netherlands,Auto,Non-Digital,7200.11
387275,2022-02-09,2022-02-09,2023-02-09,2022-12-31,Netherlands,Engineering,Non-Digital,356637.31
417376,2022-10-23,2022-10-23,2023-10-23,2022-12-31,Norway,Transportation,Non-Digital,59725.16
804332,2022-04-01,2022-04-01,2023-04-01,2022-12-31,France,Liability,Digital,280155.14
576721,2022-10-02,2022-10-02,2023-10-02,2022-12-31,Switzerland,Engineering,Digital,349382.92
465360,2022-07-23,2022-07-23,2023-07-23,2022-12-31,Norway,Auto,Non-Digital,10769.07
924053,2022-05-09,2022-05-09,2023-05-09,2022-12-31,Norway,Residence,Non-Digital,21084.0
712234,2022-07-06,2022-07-06,2023-07-06,2022-12-31,Netherlands,Transportation,Non-Digital,97126.55
